文本,地点-同城/异地,地点-室内/室外,设备,使用时长,目的,充电对象,场景,充电宝类型,匹配场景,场景分类,场景大类,大类,文本_标注_语义极性,文本_标注_评论主体
每天都查一遍我的充电宝 我真的很需要两班地铁中间那几分钟  每次赶不上地铁都是因为再过安检&%,同城(推测),室内(推测),单设备,短,休闲(推测),手机(推测),地铁换乘,普通,地铁,提及交通工具出行,交通出行,轻悦生活,正,用户
露营、短途旅行，再也不用担心没有充电宝了,同城(推测),室外,单设备,长(推测),休闲,手机,露营、短途旅行,普通,露营/野营,户外运动与观光,运动与文旅,轻悦生活,中,充电宝
6号楼的墙体里面没有电线，没法在床边安装USB插空，所以跟班主任商量后是在教室前面安装充电角，解决学生们给充电宝等充电的问题,同城(推测),室内,单设备,短,办公(推测),手机,教室充电,普通,学校,校园与学习,工作与学习,轻悦生活,负,充电宝
感觉自己慢慢要变成j人了，出门玩带了充电宝充电线护手霜抽纸眼药水耳机唇膏唇釉睫毛夹梳子。我以前都是啥都不带出门，果然，人变成牛马之后自己也在慢慢改变,异地(推测),室外,单设备,长,休闲,手机(推测),出门游玩,普通,泛旅游,旅行与住宿,运动与文旅,远行探索,负,充电宝
抢五天图书馆终于抢到了，结果在图书馆给充电宝充电 不是说好要好好学的吗,同城(推测),室内,单设备,长(推测),办公,手机,图书馆学习,普通,图书馆/书店,校园与学习,工作与学习,高效办公,负,用户
其实这个年过得很魔幻。下午出门忘记带充电宝，途中接到家里打来的电话，耗尽电量，我呆滞坐在地铁站的候车椅上剥了一小时的糖炒栗子，拇指被划出一道很浅的伤口。 通话记录里仍然躺着今天的五条未接来电。其实昨晚我临睡前仍在许愿，我想2025年我应当要再多爱妈妈一点，但还是要更爱自己一点，最重要 ... 全文,同城(推测),室内,单设备,短,休闲,手机,地铁站候车,普通,地铁,提及交通工具出行,交通出行,轻悦生活,负,用户
电脑被人撞掉了塑料壳碎了划伤了手 来酒吧拿落这的充电宝一下地铁发现我的sony耳机不见了 什么意思,同城(推测),室内,单设备,短,休闲,手机,酒吧、地铁,普通,酒吧/夜店/蹦迪,休闲,社交与娱乐,轻悦生活,负,用户
上海有一个出高铁站的充电宝叫闪啥千万别借，只有高铁站里面能还。。。。后面我直接打个客服让它停止收费,异地,室内,单设备,长,休闲,手机,高铁站,普通,高铁/火车,提及交通工具出行,交通出行,轻悦生活,负,用户
新年，一个人也要好好吃饭。 买了蓝牙耳机和充电宝送给自己，希望新的一年能够好好爱自己。 虽宅家，但有好好打扫卫生，洗衣服拖地，以最好的状态迎接2025。 这一年，要值得。,同城(推测),室内,单设备,短,休闲,手机,宅家,普通,泛家中,居家与手作,生活与居家,轻悦生活,正,充电宝
呵呵再也不会拿不是原装线的线充电了。。巨慢无比，以后出门不充满电不出门充电宝将不离身，今天地铁上手机没电关机出不了站在地铁里面充电的事将不会再发生 关机的时候担心别人联系不到我以为我失踪了....脑子回想一百个剧情状况,同城(推测),室内,单设备,短(推测),休闲,手机,地铁通勤,普通,地铁,提及交通工具出行,交通出行,轻悦生活,正,用户
#生活手记# 每个孩子的需求不一样，出来一趟收获颇多。生日月福利，全家福，打卡礼物浴巾和恐龙，成长礼盒，发绳，陀螺，明信片，钥匙扣，行李牌，气球，手提袋，企鹅羽毛，捡了一个充电宝，哈哈哈。2025，期待下一次旅行，南京，扬州，河南，威海，西双版纳。,异地(推测),室外(推测),单设备,长,休闲,手机,旅行,普通,泛旅游,旅行与住宿,运动与文旅,远行探索,正,用户
诺基亚死于换电这奇葩理论到底谁提出来的根本就是觉得互联网没记忆啊苹果电池不能拆卸一直都是缺陷 充电宝普及以前火车上望向车外思考人生的苹果手机用户都成一个经典笑话了那会智能机刚普及 长时间玩手机导致手机没电都成社会问题了,异地,室内(推测),单设备,短(推测),休闲,手机,火车,普通,高铁/火车,提及交通工具出行,交通出行,轻悦生活,负,充电宝
现在躺在旁边的长椅上休息，刚到吉隆坡机场就看到有人弹钢琴，没想到凌晨也还在。没有一大圈人围着看，偶尔有一两个路人驻足半分钟。 和白云很不一样，有许多bar，吃的反而相对少一些。每个店里都有很多插座，没有充电宝桩。相对来说没那么好睡，在酒吧躺下会被严肃劝阻，而且不给我续冰水&%卖了我十 ... 全文,异地(推测),室内(推测),单设备,短,休闲,手机,吉隆坡机场,普通,飞机,提及交通工具出行,交通出行,轻悦生活,正,充电宝
